event_id,toa_mjd_bary
20210928-158,59485.802911642997
20210928-159,59485.803134283000
20210928-160,59485.803158686998
20210928-161,59485.803286237002
20210928-162,59485.803305813002
20210928-163,59485.803437239003
20210928-164,59485.803449599000
20210928-165,59485.803535992003
20210928-166,59485.803572338002
20210928-167,59485.803670672001
20210928-168,59485.804037968002
20210928-169,59485.804278156000
20210928-170,59485.804468298003
20210928-171,59485.804656109001
20210928-172,59485.804674938001
20210928-173,59485.804770645998
20210928-174,59485.804846637002
20210928-175,59485.804855716000
20210928-176,59485.804910990002
20210928-177,59485.804915997003
20210928-178,59485.805052798001
20210928-179,59485.805159832998
20210928-180,59485.805174373003
20210928-181,59485.805257275999
20210928-182,59485.805397381002
20210928-183,59485.805516768000
20210928-184,59485.805618364000
20210928-185,59485.805710879002
20210928-186,59485.805788930003
20210928-187,59485.805931183000
20210928-188,59485.806054127999
20210928-189,59485.806269991001
20210928-190,59485.806427893003
20210928-191,59485.806703747003
20210928-192,59485.806801042003
20210928-193,59485.806814333999
20210928-194,59485.807031347002
20210928-195,59485.807495922003
20210928-196,59485.807559608998
20210928-197,59485.807606139999
20210928-198,59485.807654648997
20210928-199,59485.807660207000
20210928-200,59485.807673848998
20210928-201,59485.807709034001
20210928-202,59485.807719593999
20210928-203,59485.807745015998
20210928-204,59485.807875678998
20210928-205,59485.807883604000
20210928-206,59485.807936101999
20210928-207,59485.808147686002
20210928-208,59485.808168531003
20210928-209,59485.808176584003
20210928-210,59485.808277559001
20210928-211,59485.808367332997
20210928-212,59485.808415241001
20210928-213,59485.808468714000
20210928-214,59485.808563309001
20210928-215,59485.808680479000
20210928-216,59485.808745654002
20210928-217,59485.808765549002
20210928-218,59485.808828406000
20210928-219,59485.808865245002
20210928-220,59485.808870047003
20210928-221,59485.808995530999
20210928-222,59485.809109904003
20210928-223,59485.809122402999
20210928-224,59485.809129886002
20210928-225,59485.809212259999
20210928-226,59485.809298364999
20210928-227,59485.809370654999
20210928-228,59485.809461090001
20210928-229,59485.809489735002
20210928-230,59485.809670192997
20210928-231,59485.809752617002
20210928-232,59485.809835316002
20210928-233,59485.809900175002
20210928-234,59485.809936423000
20210928-235,59485.810004412997
20210928-236,59485.810072863002
