event_id,toa_mjd_bary
B00554,60375.153297101002
B00555,60375.153318506003
B00556,60375.153461729002
B00557,60375.153529210002
B00558,60375.153770035999
B00559,60375.153795591003
B00560,60375.153823421999
B00561,60375.153875333002
B00562,60375.153927332001
B00563,60375.154200434001
B00564,60375.154330530997
B00566,60375.154356086998
B00567,60375.154382369998
B00568,60375.154474051000
B00569,60375.154528270003
B00570,60375.154693600998
B00573,60375.154817142000
B00575,60375.154877096000
B00576,60375.154920369998
B00577,60375.155150740000
B00578,60375.155231787998
B00579,60375.155354016999
B00580,60375.155359506003
B00581,60375.155369086999
B00583,60375.155397185998
B00584,60375.155476745997
B00585,60375.155524237998
B00586,60375.155529814001
B00587,60375.155843649998
B00588,60375.155966575003
B00590,60375.156059939000
B00591,60375.156119464998
B00592,60375.156139304003
B00593,60375.156159111000
B00594,60375.156211114001
B00597,60375.156387155999
B00598,60375.156437598002
B00599,60375.156452087998
B00600,60375.156605370001
B00601,60375.156699895000
B00602,60375.156716398000
B00603,60375.156738457998
B00604,60375.156814148999
B00605,60375.156869979997
B00606,60375.157092218004
B00607,60375.157143875003
B00608,60375.157180549002
B00609,60375.157357286997
B00610,60375.157442053998
B00611,60375.157562367000
B00612,60375.157658003001
B00614,60375.157737898997
B00615,60375.157796856001
B00616,60375.157990863001
B00617,60375.158136288999
B00619,60375.158400198001
B00620,60375.158565603997
B00621,60375.158713637000
B00622,60375.158863260003
B00623,60375.158947117001
B00625,60375.158971721001
B00626,60375.159084387997
B00627,60375.159089421002
B00628,60375.159093044000
B00629,60375.159180442002
B00631,60375.159288442999
B00632,60375.159363257000
B00633,60375.159496439999
B00634,60375.159697390998
B00635,60375.160039408998
B00636,60375.160401902001
B00637,60375.160413152997
B00638,60375.160782756000
B00639,60375.160831727000
B00640,60375.160985203998
B00642,60375.161134421003
B00643,60375.161255963001
B00644,60375.161345922999
B00645,60375.161450692001
B00646,60375.161489291000
B00648,60375.161604202003
B00649,60375.161770181003
B00650,60375.161788619000
B00651,60375.161884464003
B00653,60375.162020796000
B00654,60375.162045755998
B00656,60375.162202414002
B00657,60375.162278301999
B00660,60375.162342351003
B00661,60375.162344985998
B00662,60375.162383994997
B00663,60375.162401964000
B00664,60375.162438610001
B00665,60375.162448358999
B00666,60375.162530437003
B00667,60375.162614820998
B00668,60375.162755404999
B00669,60375.162781056002
B00670,60375.162869013002
B00672,60375.162932503001
B00673,60375.162949903002
B00674,60375.162979581997
B00675,60375.163080054997
B00676,60375.163097912999
B00677,60375.163197476999
B00678,60375.163344891997
B00680,60375.163609638003
B00681,60375.163848393000
B00682,60375.163851072997
B00683,60375.164001555000
B00684,60375.164211992000
B00685,60375.164260176003
B00686,60375.164352562002
B00689,60375.164401884002
B00692,60375.164428181000
B00693,60375.164484776004
B00694,60375.164583382997
B00695,60375.164723907998
B00696,60375.164799885999
B00697,60375.164924386001
B00698,60375.164982861002
B00699,60375.165005051997
B00700,60375.165006253003
B00701,60375.165035149003
B00702,60375.165067704002
B00703,60375.165102863000
B00705,60375.165266267002
B00706,60375.165362385000
B00707,60375.165467086001
