row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
255,stk,r117_59905_198,59905.572032518874,59905.69666989503,98.4375,1381.46484375,1332.24609375,1430.68359375,10768.669299641624,179.47782166069373,2.991297027678229,0.12463737615325954
256,stk,r117_59905_199,59905.69670254165,59905.8208946371,98.4375,1381.46484375,1332.24609375,1430.68359375,10730.197046790272,178.83661744650453,2.9806102907750756,0.12419209544896148
257,tr,f22c11,59905.77787037037,59906.02915508671,256.0,4708.0,4580.0,4836.0,20630.9684375301,343.849473958835,5.730824565980583,0.23878435691585764
258,stk,r117_59905_200,59905.820925544176,59905.945235523526,98.4375,1381.46484375,1332.24609375,1430.68359375,10740.38221584633,179.0063702641055,2.9834395044017583,0.12430997935007326
259,stk,r117_59905_201,59905.94524879255,59906.02806497713,98.4375,1381.46484375,1332.24609375,1430.68359375,7155.318347574212,119.25530579290353,1.9875884298817255,0.08281618457840523
260,stk,r117_59906_202,59906.02808366701,59906.15019661262,98.4375,1381.46484375,1332.24609375,1430.68359375,10550.558500690386,175.8426416781731,2.9307106946362182,0.12211294560984243
261,stk,r117_59906_203,59906.15020777801,59906.27630118607,98.4375,1381.46484375,1332.24609375,1430.68359375,10894.470456708224,181.57450761180374,3.0262417935300623,0.1260934080637526
262,stk,r117_59906_204,59906.28648823137,59906.4105785033,98.4375,1381.46484375,1332.24609375,1430.68359375,10721.399494679643,178.68999157799405,2.978166526299901,0.12409027192916253
263,stk,r117_59906_205,59906.41059739545,59906.535533486305,98.4375,1381.46484375,1332.24609375,1430.68359375,10794.478249875827,179.90797083126378,2.998466180521063,0.12493609085504429
264,wb,p11715,59906.52373842593,59907.021377227415,128.0,1271.0,1207.0,1335.0,41195.74412656948,686.5957354428247,11.443262257380411,0.4768025940575171
265,stk,r117_59906_206,59906.535581303324,59906.659793666375,98.4375,1381.46484375,1332.24609375,1430.68359375,10731.948166969232,178.86580278282054,2.981096713047009,0.12421236304362537
266,stk,r117_59906_207,59906.65994864688,59906.78431247091,98.4375,1381.46484375,1332.24609375,1430.68359375,10745.034396531992,179.08390660886653,2.984731776814442,0.12436382403393509
267,tr,f22c12,59906.77091435184,59907.022210625226,256.0,4708.0,4580.0,4836.0,20648.97240847349,344.14954014122486,5.735825669020414,0.23899273620918393
268,stk,r117_59907_208,59907.42596671378,59907.55020792077,98.4375,1381.46484375,1332.24609375,1430.68359375,10734.440284059383,178.90733806765638,2.981788967794273,0.12424120699142804
269,wb,p11716,59907.52166666668,59908.01931712369,128.0,1271.0,1207.0,1335.0,41201.765248482116,686.6960874747019,11.444934791245032,0.476872282968543
270,stk,r117_59907_209,59907.55036241582,59907.67443177286,98.4375,1381.46484375,1332.24609375,1430.68359375,10719.592447928151,178.65987413213585,2.977664568868931,0.12406935703620545
271,stk,r117_59907_210,59907.67445693544,59907.79869397564,98.4375,1381.46484375,1332.24609375,1430.68359375,10734.080272936262,178.90133788227104,2.9816889647045173,0.12423704019602155
272,tr,f22l13,59907.76396990741,59907.949537006025,128.0,1414.0,1350.0,1478.0,15243.972788262181,254.06621313770302,4.234436885628384,0.17643487023451598
273,stk,r117_59908_211,59908.27128317383,59908.39529354848,98.4375,1381.46484375,1332.24609375,1430.68359375,10714.496369403787,178.57493949006312,2.976248991501052,0.12401037464587716
274,stk,r117_59908_212,59908.39530576566,59908.5195136383,98.4375,1381.46484375,1332.24609375,1430.68359375,10731.56019570306,178.859336595051,2.98098894325085,0.12420787263545208
275,wb,p11717,59908.51888888889,59909.0165161163,128.0,1271.0,1207.0,1335.0,40021.789508569054,667.0298251428176,11.117163752380293,0.46321515634917887
276,stk,r117_59908_213,59908.66429936992,59908.789678597415,98.4375,1381.46484375,1332.24609375,1430.68359375,10832.765255542472,180.54608759237453,3.009101459872909,0.12537922749470454
277,tr,f22l14,59908.75702546296,59909.04305554973,128.0,1414.0,1350.0,1478.0,23478.952214797027,391.3158702466171,6.521931170776952,0.27174713211570634
278,stk,r117_59908_214,59908.78969206869,59908.91960480968,98.4375,1381.46484375,1332.24609375,1430.68359375,11224.460821319373,187.07434702198955,3.117905783699826,0.12991274098749275
279,stk,r117_59908_215,59908.91961431642,59909.04543465782,98.4375,1381.46484375,1332.24609375,1430.68359375,10870.877496642059,181.18129161070098,3.019688193511683,0.12582034139632012
280,stk,r117_59909_216,59909.04544772457,59909.16987206827,98.4375,1381.46484375,1332.24609375,1430.68359375,10750.263295322657,179.17105492204428,2.986184248700738,0.12442434369586408
281,stk,r117_59909_217,59909.1698802805,59909.29391492772,98.4375,1381.46484375,1332.24609375,1430.68359375,10716.59352032002,178.60989200533368,2.976831533422228,0.12403464722592616
